date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:42:51	111/111	---M-Z	200	added ('OK')	text/plain	date:Tue,%2005%20Mar%202024%2017:15:32%20GMT	https://NULEC LTD.store/robots.txt		(from )
01:42:51	135533/135533	---MCZ	200	added ('OK')	text/html	date:Tue,%2005%20Mar%202024%2018:42:52%20GMT	https://NULEC LTD.store/	F:/Develop/My%20Websites/NULEC LTD/NULEC LTD.store/index.html	(from )
01:42:51	42/42	---MC-	405	error ('Method%20Not%20Allowed')	text/plain	date:Tue,%2005%20Mar%202024%2018:42:52%20GMT	https://NULEC LTD.store/xmlrpc.php	F:/Develop/My%20Websites/NULEC LTD/NULEC LTD.store/xmlrpc.php	(from https://NULEC LTD.store/)
01:42:51	34257/34257	---MCZ	200	added ('OK')	text/javascript	etag:W/%22b53770719042deb2683a190c842bf26e%22	https://cdn.judge.me/shopify_v2/leex.js	F:/Develop/My%20Websites/NULEC LTD/cdn.judge.me/shopify_v2/leex.js	(from https://NULEC LTD.store/)
01:42:52	2291/2291	---MCZ	200	added ('OK')	text/css	etag:W/%22925aa0357822fbd5f8040e0a2be81081%22	https://cdn.judge.me/widget_v3/theme/leex.css	F:/Develop/My%20Websites/NULEC LTD/cdn.judge.me/widget_v3/theme/leex.css	(from https://NULEC LTD.store/)
01:42:52	4052/4052	---MCZ	200	added ('OK')	text/javascript	etag:W/%22a9a1a3f89141be1cf8c19b5436e3a221%22	https://cdn.judge.me/loader.js	F:/Develop/My%20Websites/NULEC LTD/cdn.judge.me/loader.js	(from https://NULEC LTD.store/)
01:42:52	65457/65457	---MCZ	200	added ('OK')	text/css	etag:W/%227eb98498975813fb2415c39450da43da%22	https://cdn.judge.me/shopify_v2.css	F:/Develop/My%20Websites/NULEC LTD/cdn.judge.me/shopify_v2.css	(from https://NULEC LTD.store/)
01:42:53	2859/2859	---MCZ	200	added ('OK')	text/css	etag:W/%22640329cc-b2b%22	https://NULEC LTD.store/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.7.4	F:/Develop/My%20Websites/NULEC LTD/NULEC LTD.store/wp-content/plugins/contact-form-7/includes/css/styles4999.css	(from https://NULEC LTD.store/)
01:42:53	145774/145774	---MCZ	200	added ('OK')	text/css	etag:W/%2263a1b336-2396e%22	https://NULEC LTD.store/wp-content/themes/flatsome/assets/css/flatsome.css?ver=3.16.4	F:/Develop/My%20Websites/NULEC LTD/NULEC LTD.store/wp-content/themes/flatsome/assets/css/flatsomeafc7.css	(from https://NULEC LTD.store/)
01:42:53	12752/12752	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2263a1b2dc-31d0%22	https://NULEC LTD.store/wp-content/themes/flatsome/assets/css/icons/fl-icons.eot?v=3.16.4	F:/Develop/My%20Websites/NULEC LTD/NULEC LTD.store/wp-content/themes/flatsome/assets/css/icons/fl-icons53cb.eot	(from https://NULEC LTD.store/)
